File,LowSeverityCount
.\lms\djangoapps\grades\management\commands\tests\test_send_segment_events_for_failed_learners.py,7
.\lms\djangoapps\grades\models.py,1
.\lms\djangoapps\grades\rest_api\v1\tests\test_gradebook_views.py,130
.\lms\djangoapps\grades\rest_api\v1\tests\test_grading_policy_view.py,1
.\lms\djangoapps\grades\rest_api\v1\tests\test_views.py,43
.\lms\djangoapps\grades\score_render.py,1
.\lms\djangoapps\grades\scores.py,2
.\lms\djangoapps\grades\subsection_grade.py,1
.\lms\djangoapps\grades\tasks.py,1
.\lms\djangoapps\grades\tests\base.py,1
.\lms\djangoapps\grades\tests\integration\test_access.py,5
.\lms\djangoapps\grades\tests\integration\test_events.py,1
.\lms\djangoapps\grades\tests\integration\test_problems.py,12
.\lms\djangoapps\grades\tests\test_api.py,11
.\lms\djangoapps\grades\tests\test_course_data.py,13
.\lms\djangoapps\grades\tests\test_course_grade.py,23
.\lms\djangoapps\grades\tests\test_course_grade_factory.py,35
.\lms\djangoapps\grades\tests\test_models.py,49
.\lms\djangoapps\grades\tests\test_scores.py,13
.\lms\djangoapps\grades\tests\test_services.py,18
.\lms\djangoapps\grades\tests\test_signals.py,5
.\lms\djangoapps\grades\tests\test_subsection_grade.py,7
.\lms\djangoapps\grades\tests\test_subsection_grade_factory.py,9
.\lms\djangoapps\grades\tests\test_tasks.py,24
.\lms\djangoapps\grades\tests\test_transformer.py,12
.\lms\djangoapps\instructor\tests\test_access.py,20
.\lms\djangoapps\instructor\tests\test_api.py,536
.\lms\djangoapps\instructor\tests\test_api_email_localization.py,3
.\lms\djangoapps\instructor\tests\test_api_v2.py,327
.\lms\djangoapps\instructor\tests\test_certificates.py,122
.\lms\djangoapps\instructor\tests\test_email.py,8
.\lms\djangoapps\instructor\tests\test_enrollment.py,84
.\lms\djangoapps\instructor\tests\test_enrollment_list_api.py,88
.\lms\djangoapps\instructor\tests\test_services.py,9
.\lms\djangoapps\instructor\tests\test_spoc_gradebook.py,11
.\lms\djangoapps\instructor\tests\test_tasks.py,3
.\lms\djangoapps\instructor\tests\test_tools.py,33
.\lms\djangoapps\instructor\tests\utils.py,7
.\lms\djangoapps\instructor\tests\views\test_api_v2.py,45
.\lms\djangoapps\instructor\tests\views\test_instructor_dashboard.py,24
.\lms\djangoapps\instructor\views\api.py,1
.\lms\djangoapps\instructor_analytics\tests\test_basic.py,69
.\lms\djangoapps\instructor_analytics\tests\test_csvs.py,22
.\lms\djangoapps\instructor_analytics\tests\test_distributions.py,28
.\lms\djangoapps\instructor_task\api_helper.py,2
.\lms\djangoapps\instructor_task\management\commands\tests\test_fail_old_tasks.py,12
.\lms\djangoapps\instructor_task\rest_api\v1\tests\test_views.py,23
.\lms\djangoapps\instructor_task\tests\test_api.py,8
.\lms\djangoapps\instructor_task\tests\test_api_helper.py,7
.\lms\djangoapps\instructor_task\tests\test_base.py,2
.\lms\djangoapps\instructor_task\tests\test_integration.py,33
.\lms\djangoapps\instructor_task\tests\test_models.py,3
.\lms\djangoapps\instructor_task\tests\test_subtasks.py,6
.\lms\djangoapps\instructor_task\tests\test_tasks.py,62
.\lms\djangoapps\instructor_task\tests\test_tasks_helper.py,44
.\lms\djangoapps\instructor_task\tests\test_views.py,98
.\lms\djangoapps\learner_dashboard\tests\test_programs.py,14
.\lms\djangoapps\learner_dashboard\tests\test_utils.py,1
.\lms\djangoapps\learner_dashboard\tests\test_views.py,1
.\lms\djangoapps\learner_home\test_serializers.py,34
.\lms\djangoapps\learner_home\test_utils.py,4
.\lms\djangoapps\learner_home\test_views.py,59
.\lms\djangoapps\learnnov_certificates\views.py,1
.\lms\djangoapps\learnnov_exams\tests.py,1
.\lms\djangoapps\learnnov_exams\views.py,1
.\lms\djangoapps\learnnov_payments\views.py,1
.\lms\djangoapps\lms_xblock\test\test_runtime.py,20
.\lms\djangoapps\lti_provider\management\commands\tests\test_resend_lti_scores.py,9
.\lms\djangoapps\lti_provider\tests\test_outcomes.py,42
.\lms\djangoapps\lti_provider\tests\test_signature_validator.py,6
.\lms\djangoapps\lti_provider\tests\test_tasks.py,2
.\lms\djangoapps\lti_provider\tests\test_users.py,40
.\lms\djangoapps\lti_provider\tests\test_views.py,8
.\lms\djangoapps\mfe_config_api\tests\test_views.py,3
.\lms\djangoapps\mfe_config_api\views.py,3
.\lms\djangoapps\mobile_api\tests\test_context_processor.py,2
.\lms\djangoapps\mobile_api\tests\test_course_info_views.py,47
.\lms\djangoapps\mobile_api\tests\test_decorator.py,3
.\lms\djangoapps\mobile_api\tests\test_middleware.py,21
.\lms\djangoapps\mobile_api\tests\test_milestones.py,1
